,VCRNum,PullDate,Weekday,ShowDate,Channel,Show,Start,Finish,Duration,Showtime,Boundary,Start words,End words,Visual y/n,Visual descr,Visual time,Audio y/n,Audio descr,Audio time,y,Object descr,Object time,Notes,Tape duration,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
0,1.0,2006-01-03 00:00:00,2.0,2006-01-02,KCBS,Dr._Phil ,00:00:24,00:58:14,00:57:50,16:00:00,black screen ,,,y,logo,00:00:24,y,tune,00:00:24,y,logo bottom left,00:57:50,"says ""video compilation"" throughout ",,,,,
1,1.0,2006-01-03 00:00:00,2.0,2006-01-02,KCBS,CBS2_News_at_5,00:58:22,01:54:52,00:56:30,17:00:00,black screen ,,,y,"""Distributed by KingWorld""",00:58:22,y,tune,00:58:22,y,logo bottom right,00:15:31,,,,,,
2,1.0,2006-01-03 00:00:00,2.0,2006-01-02,KCBS,CBS2_News_at_6,01:57:33,02:26:22,00:28:49,18:00:00,black screen ,,,y,logo,01:57:33,y,tune,01:13:55,y,logo bottom right,00:28:49,"says ""video compilation"" throughout ",,,,,
3,1.0,2006-01-03 00:00:00,2.0,2006-01-02,KCBS,CBS_Evening_News_with_Bob_Schieffer,02:28:44,02:57:01,00:28:17,18:30:00,black screen ,,,y,screen,02:28:44,y,tune,02:28:44,y,logo bottom right,00:28:17,,,,,,
4,1.0,2006-01-03 00:00:00,2.0,2006-01-02,KCBS,Entertainment_Tonight,02:59:24,03:31:02,00:31:38,19:00:00,black screen ,,,y,logo,02:59:24,y,tune,02:59:24,y,logo bottom left,00:31:38,"alternates between two logos: ""ET"" and ""The Insider""",,,,,
5,1.0,2006-01-03 00:00:00,2.0,2006-01-02,KCBS,CBS2_News_at_11,03:31:04,04:06:22,00:35:18,11:00:00,black screen ,,,y,logo,00:35:18,y,tune,03:31:04,y,logo bottom right,00:35:18,,,,,,
6,1.0,2006-01-03 00:00:00,2.0,2006-01-03,KCBS,Late_Show_with_David_Letterman,04:06:30,05:08:48,01:02:18,00:23:35,black screen ,,,y,logo,04:06:30,y,tune,04:06:30,y,logo bottom right,01:02:18,,,,,,
7,1.0,2006-01-03 00:00:00,2.0,2006-01-03,KCBS,Late_Late_Show_with_Craig_Ferguson,05:08:53,06:07:49,00:58:56,00:37:00,black screen ,,,y,logo,05:08:53,y,tune,05:08:53,y,logo bottom right,00:58:46,,,,,,
8,1.0,2006-01-03 00:00:00,2.0,2006-01-03,KCBS,Frasier,06:08:58,06:09:50,00:00:52,00:30:00,black screen ,,,y,logo,06:08:58,y,tune,06:08:58,n,,,"""closed caption"" and ""TV PG"" logos top right and left, respectively",,,,,
9,1.0,2006-01-03 00:00:00,3.0,2006-01-03,KCBS,CBS2_,06:09:51,06:10:23,00:00:32,18:55:00,none,,,n,,,n,,,y,logo bottom right,00:00:32,,,,,,
10,1.0,2006-01-03 00:00:00,3.0,2006-01-03,KCBS,The_Early_Show,06:10:24,07:04:15,00:53:51,19:00:00,black screen ,,,y,screen,06:10:24,n,,,y,logo bottom left and right,00:53:51,,,,,,
11,1.0,2006-01-03 00:00:00,3.0,2006-01-03,KCBS,CBS2_,07:05:26,07:10:32,00:05:06,19:55:00,black screen ,,,y,screen,07:05:26,y,tune,07:05:26,y,logo bottom right,00:05:06,,,,,,
12,1.0,2006-01-03 00:00:00,3.0,2006-01-03,KCBS,The_Early_Show,07:10:25,07:35:19,00:24:54,20:00:00,black screen ,,,y,screen,07:10:25,n,,,y,logo bottom right,00:24:54,,,,,,
13,1.0,2006-01-03 00:00:00,3.0,2006-01-03,KCBS,CBS2_,07:10:20,07:40:39,00:30:19,20:24:00,none,,,y,screen,07:10:20,y,tune,07:10:20,y,logo bottom right,00:30:09,,,,,,
14,1.0,2006-01-03 00:00:00,3.0,2006-01-03,KCBS,The_Early_Show,07:40:40,08:03:17,00:22:37,20:30:00,none,,,y,screen,07:40:40,y,tune,07:40:40,y,logo bottom right,00:22:37,,,,,,
15,1.0,2006-01-03 00:00:00,3.0,2006-01-03,KCBS,CBS2_,08:05:21,08:09:16,00:03:55,20:55:00,black screen ,,,y,screen,08:05:21,y,tune,08:05:21,y,logo bottom right,00:03:55,,,,,,
16,1.0,2006-01-03 00:00:00,3.0,2006-01-03,KCBS,Family_Feud,08:10:21,08:10:49,00:00:28,21:00:00,black screen ,,,y,logo,08:10:21,y,tune,08:10:21,n,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1.0,2006-01-02 00:00:00,2.0,2006-01-01,KCBS,Dr._Phil,00:01:27,00:58:20,00:57:33,16:00:00,black screen,,,y,logo,00:01:27,y,tune,00:01:27,y,show name bottom left,00:57:33,,,,,,
19,1.0,2006-01-02 00:00:00,2.0,2006-01-01,KCBS,CBS2_News_at_5,00:58:27,01:49:39,00:51:12,17:00:00,black screen,,,y,"""Distributed by KingWorld""",00:58:27,y,tune,00:58:27,y,show name logo bottom right,00:58:27,Transitions from CBS2 News at 5 to 6pm - a rerun of the same show at a different hour,,,,,
20,1.0,2006-01-02 00:00:00,2.0,2006-01-01,KCBS,CBS2_News_at_6,01:56:14,02:24:28,00:28:14,18:00:00,black screen,,,y,logo,01:56:14,y,tune,01:56:23,y,logo bottom right; 00:22:40,00:28:14,,,,,,
21,1.0,2006-01-02 00:00:00,2.0,2006-01-01,KCBS,CBS_Evening_News_with_Bob_Schieffer,02:26:51,02:55:44,00:28:53,18:30:00,black frame,,,y,screen ,02:26:51,y,tune,02:26:51,y,show name bottom right,00:28:53,,,,,,
22,1.0,2006-01-02 00:00:00,2.0,2006-01-01,KCBS,Entertainment_Tonight,02:55:46,03:29:08,00:33:22,19:00:00,black screen,,,y,logo,02:55:46,y,tune,02:55:46,y,show name bottom right,00:33:22,"Object switches from ""ET"" logo to ""The Insider Logo"", same show though",,,,,
23,1.0,2006-01-02 00:00:00,2.0,2006-01-01,KCBS,CBS2_News_at_11,03:30:01,04:04:30,00:34:29,11:00:00,black frame ,,,y,logo,03:30:01,y,tune,03:30:01,y,show name bottom right,00:34:29,Object appears on black screen right before visual ,,,,,
24,1.0,2006-01-02 00:00:00,2.0,2006-01-01,KCBS,Late_Show_with_David_Letterman_,04:04:37,05:06:54,01:02:17,23:35:00,black frame,,,y,screen ,04:04:47,y,tune,04:04:36,y,CBS logo bottom right,01:02:17,,,,,,
25,1.0,2006-01-02 00:00:00,2.0,2006-01-01,KCBS,Late_Late_Show_with_Craig_Ferguson,05:06:59,06:05:47,00:58:48,00:37:00,black frame,,,y,screen ,05:06:59,y,tune,05:06:59,y,CBS logo bottom right,00:58:48,,,,,,
26,1.0,2006-01-02 00:00:00,2.0,2006-01-01,KCBS,Belleza_y_Poder_,06:07:08,06:07:57,00:00:49,00:30:00,black frame,,,y,screen ,06:06:08,y,tune,06:07:08,y,CBS logo bottom right,00:00:49,,,,,,
27,1.0,2006-01-02 00:00:00,3.0,2006-01-01,KCBS,CBS2_,06:07:58,06:08:31,00:00:33,19:00:00,none,,,n,,06:07:58,n,,,y,CBS logo bottom right,00:00:30,"Caught the end of the recording of CBS2, not the beginning",transition at 06:08:30,,,,
28,1.0,2006-01-02 00:00:00,3.0,2006-01-01,KCBS,The_Early_Show,06:08:33,07:33:27,01:24:54,19:00:00,black frame,,,y,screen ,06:08:33,n,none,none,y,"The Early Show Logo, CBS logo bottom right",06:08:32,,,,,,
29,1.0,2006-01-02 00:00:00,3.0,2006-01-01,KCBS,CBS2_,07:33:29,07:37:32,00:04:03,16:25:00,black frame,,,y,screen ,07:33:29,y,tune,07:33:29,y,CBS logo bottom right,00:04:03,,,,,,
30,1.0,2006-01-02 00:00:00,3.0,2006-01-01,KCBS,The_Early_Show,07:38:48,08:01:28,00:22:40,19:00:00,black frame,,,y,screen ,07:38:48,y,tune,07:38:48,y,logo bottom right; 00:22:40,,,,,,,
31,1.0,2006-01-02 00:00:00,3.0,2006-01-02,KCBS,CBS2,08:03:29,08:08:30,00:05:01,20:00:00,black frame,,,y,screen ,08:03:29,y,tune,08:03:29,,logo bottom right; 00:22:40,00:05:01,,,,,,
32,1.0,2006-01-02 00:00:00,3.0,2006-01-02,KCBS,Family_Feud,08:08:31,08:08:57,00:00:26,17:00:00,black frame,,,y,screen ,08:08:31,y,halloween theme,08:08:31,,,-,cut out at 08:08:57,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,2006-07-10 00:00:00,2.0,2006-07-09,KCBS,Dr._Phil,00:00:33,00:58:23,00:57:50,16:00:00,black screen,,,y,logo,00:00:33,y,tune,00:00:33,y,logo bottom left,00:57:50,,,,,,
35,1.0,2006-07-10 00:00:00,2.0,2006-07-09,KCBS,CBS2_News_at_5,00:58:31,01:55:53,00:57:22,17:00:00,black screen,,,y,"""Distributed by KingWorld""",00:58:31,y,tune,00:58:31,y,logo bottom right,00:57:22,,,,,,
36,1.0,2006-07-10 00:00:00,2.0,2006-07-09,KCBS,CBS2_News_at_6,01:58:26,02:26:30,00:28:04,18:00:00,black screen,,,y,logo,01:58:26,y,tune,01:58:37,y,logo bottom right,00:28:04,,,,,,
37,1.0,2006-07-10 00:00:00,2.0,2006-07-09,KCBS,CBS_Evening_News_with_Bob_Schieffer,02:28:53,02:57:43,00:28:50,18:30:00,black screen,,,y,screen,02:28:53,y,tune,02:28:53,y,logo bottom right,00:28:17,,,,,,
38,1.0,2006-07-10 00:00:00,2.0,2006-07-09,KCBS,Entertainment_Tonight,02:59:31,03:30:52,00:31:21,19:00:00,black screen,,,y,logo,02:59:31,y,tune,02:59:31,y,logo bottom left,00:31:21,cuts to black screen during recording at 3:30:52,,,,,
39,1.0,2006-07-10 00:00:00,2.0,2006-07-09,KCBS,CBS2_News_at_11,03:32:07,04:06:30,00:34:23,11:00:00,black screen,,,y,logo,03:32:07,y,tune,03:32:07,y,logo bottom right,00:34:30,,,,,,
40,1.0,2006-07-10 00:00:00,2.0,2006-07-10,KCBS,Late_Show_with_David_Letterman,04:06:38,05:08:57,01:02:19,00:23:35,black screen,,,y,logo,04:06:38,y,tune,04:06:38,y,logo bottom right,01:02:19,,,,,,
41,1.0,2006-07-10 00:00:00,2.0,2006-07-10,KCBS,Late_Late_Show_with_Craig_Ferguson,05:09:00,06:07:57,00:58:57,00:37:00,black screen,,,y,logo,05:09:00,y,tune,05:09:00,y,logo bottom right,00:58:57,,,,,,
42,1.0,2006-07-10 00:00:00,2.0,2006-07-10,KCBS,Frasier,06:09:02,06:09:51,00:00:49,00:30:00,black screen,,,y,logo,06:09:02,y,tune,06:09:02,n,,,"""closed caption"" and ""TV PG"" logos top right and left, respectively ",,,,,
43,1.0,2006-07-10 00:00:00,3.0,2006-07-10,KCBS,CBS2_,06:09:52,06:10:28,00:00:36,18:55:00,none,,,n,,,n,,,y,logo bottom right,00:00:36,,,,,,
44,1.0,2006-07-10 00:00:00,3.0,2006-07-10,KCBS,The_Early_Show,06:10:30,06:32:28,00:21:58,19:00:00,black screen,,,y,screen,06:10:30,y,tune,06:10:30,y,logo bottom left and right,00:21:58,,,,,,
45,1.0,2006-07-10 00:00:00,3.0,2006-07-10,KCBS,CBS2_,06:35:31,06:39:29,00:03:58,19:25:00,black screen,,,y,screen,06:35:31,y,tune,06:35:31,y,logo bottom right,00:03:58,,,,,,
46,1.0,2006-07-10 00:00:00,3.0,2006-07-10,KCBS,The_Early_Show,06:40:30,07:04:19,00:23:49,19:30:00,black screen,,,y,screen,06:40:30,y,tune,06:40:30,y,logo bottom left,00:23:49,,,,,,
47,1.0,2006-07-10 00:00:00,3.0,2006-07-10,KCBS,CBS2_,07:05:31,07:10:27,00:04:56,19:55:00,black screen,,,y,screen,07:05:31,y,tune,07:05:31,y,logo bottom right,00:04:56,,,,,,
48,1.0,2006-07-10 00:00:00,3.0,2006-07-10,KCBS,The_Early_Show,07:10:29,07:32:28,00:21:59,20:00:00,black screen,,,y,screen,07:10:29,y,tune,07:10:29,y,logo bottom left and right,00:21:59,,,,,,
49,1.0,2006-07-10 00:00:00,3.0,2006-07-10,KCBS,CBS2_,07:35:30,07:40:44,00:05:14,20:25:00,black screen,,,y,screen,07:35:30,y,tune,07:35:30,y,logo bottom right,00:05:14,,,,,,
50,1.0,2006-07-10 00:00:00,3.0,2006-07-10,KCBS,The_Early_Show,07:40:45,08:03:28,00:22:43,20:30:00,black screen,,,y,screen,07:40:45,y,tune,07:40:45,y,logo bottom left and right,00:22:43,,,,,,
51,1.0,2006-07-10 00:00:00,3.0,2006-07-10,KCBS,CBS2_,08:05:28,08:09:23,00:03:55,20:55:00,black screen,,,y,screen,08:05:28,y,tune,08:05:28,y,logo bottom right,00:03:55,,,,,,
52,1.0,2006-07-10 00:00:00,3.0,2006-07-10,KCBS,Family_Feud,08:10:28,08:10:51,00:00:23,21:00:00,black screen,,,y,screen,08:10:28,y,tune,08:10:28,n,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,now on: 2006-07-11_0000_US_Archive_V1_MB10_VHS6_H12_CG.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1.0,2006-07-11 00:00:00,2.0,2006-07-10,KCBS,Dr._Phil,00:00:20,00:58:09,00:57:49,16:00:00,black screen,,,y,logo,00:00:20,y,tune,00:00:20,y,logo bottom left,00:57:49,,,,,,
57,1.0,2006-07-11 00:00:00,2.0,2006-07-10,KCBS,CBS2_News_at_5,00:58:15,01:55:53,00:57:38,17:00:00,black screen,,,y,"""Distributed by KingWorld""",00:58:15,y,tune,00:58:15,y,logo bottom right,01:08:34,,,,,,
58,1.0,2006-07-11 00:00:00,2.0,2006-07-10,KCBS,CBS2_News_at_6,01:58:53,02:26:15,00:27:22,18:00:00,black screen,,,y,logo,02:06:49,y,tune,02:06:49,y,logo bottom right,00:19:26,,,,,,
59,1.0,2006-07-11 00:00:00,2.0,2006-07-10,KCBS,CBS_Evening_News_with_Bob_Schieffer,02:28:36,02:57:08,00:28:32,18:30:00,black screen,,,y,screen,02:28:36,y,tune,02:28:36,y,logo bottom right,00:28:32,cuts to black screen at 03:30:39,,,,,
60,1.0,2006-07-11 00:00:00,2.0,2006-07-10,KCBS,Entertainment_Tonight,02:59:16,03:30:39,00:31:23,19:00:00,black screen,,,y,logo,02:59:16,y,tune,02:59:16,y,logo bottom left,00:31:23,"alternates between two logos: ""ET"" and ""The Insider""",,,,,
61,1.0,2006-07-11 00:00:00,2.0,2006-07-10,KCBS,CBS2_News_at_11,03:31:54,04:06:16,00:34:22,11:00:00,black screen,,,y,logo ,03:31:54,y,tune,03:31:54,y,logo bottom right,00:34:22,,,,,,
62,1.0,2006-07-11 00:00:00,2.0,2006-07-11,KCBS,Late_Show_with_David_Letterman,04:06:22,05:08:42,01:02:20,00:23:35,black screen,,,y,logo,04:06:22,y,tune,04:06:22,y,logo bottom right,01:02:20,,,,,,
63,1.0,2006-07-11 00:00:00,2.0,2006-07-11,KCBS,Late_Late_Show_with_Craig_Ferguson,05:08:46,06:07:42,00:58:56,00:37:00,black screen,,,y,logo,05:08:46,y,tune,05:08:46,y,logo bottom right,00:58:56,,,,,,
64,1.0,2006-07-11 00:00:00,2.0,2006-07-11,KCBS,Frasier,06:08:48,06:09:39,00:00:51,00:30:00,black screen,,,y,logo,06:08:48,y,tune,06:08:48,n,,,"""closed caption"" and ""TV PG"" logos top right and left, respectively ",,,,,
65,1.0,2006-07-11 00:00:00,3.0,2006-07-11,KCBS,CBS2_,06:09:39,06:10:15,00:00:36,18:59:00,none,,,n,,,n,,,y,logo bottom right,,,,,,,
66,1.0,2006-07-11 00:00:00,3.0,2006-07-11,KCBS,The_Early_Show,06:10:16,06:32:15,00:21:59,19:00:00,black screen,,,y,screen,06:10:16,y,tune,06:10:16,y,logo bottom left and right,00:21:59,,,,,,
67,1.0,2006-07-11 00:00:00,3.0,2006-07-11,KCBS,CBS2_,06:35:18,06:39:15,00:03:57,19:25:00,black screen,,,y,screen,06:35:18,y,tune,06:35:18,y,logo bottom right,00:03:57,,,,,,
68,1.0,2006-07-11 00:00:00,3.0,2006-07-11,KCBS,The_Early_Show,06:40:18,07:04:05,00:23:47,19:30:00,black screen,,,y,screen,06:40:18,y,tune,06:40:18,y,logo bottom left and right,00:23:47,,,,,,
69,1.0,2006-07-11 00:00:00,3.0,2006-07-11,KCBS,CBS2_,07:05:16,07:09:10,00:03:54,19:55:00,black screen,,,y,screen,07:05:16,y,tune,07:05:16,y,logo bottom right,00:03:54,,,,,,
70,1.0,2006-07-11 00:00:00,3.0,2006-07-11,KCBS,The_Early_Show,07:10:17,07:32:03,00:21:46,20:00:00,black screen,,,y,screen,07:10:17,y,tune,07:10:17,y,logo bottom left and right,00:21:46,,,,,,
71,1.0,2006-07-11 00:00:00,3.0,2006-07-11,KCBS,CBS2_,07:35:19,07:39:10,00:03:51,20:25:00,black screen,,,y,screen,07:35:19,y,tune,07:35:19,y,logo bottom right,00:03:51,,,,,,
72,1.0,2006-07-11 00:00:00,3.0,2006-07-11,KCBS,The_Early_Show,07:40:37,08:02:43,00:22:06,20:30:00,black screen,,,y,screen,07:40:37,y,tune,07:40:37,y,logo bottom left and right,00:22:06,,,,,,
73,1.0,2006-07-11 00:00:00,3.0,2006-07-11,KCBS,CBS2_,08:05:16,08:09:10,00:03:54,20:55:00,black screen,,,y,screen,08:05:16,y,tune,08:05:16,y,logo bottom right,00:03:54,,,,,,
74,1.0,2006-07-11 00:00:00,3.0,2006-07-11,KCBS,Family_Feud,08:10:16,08:10:40,00:00:23,21:00:00,black screen,,,y,screen,08:10:16,y,tune,08:10:16,n,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,
